ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
174	291	0	0	0.000000	2.154639	2.154639	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
175	124	0	0	0.000000	1.854839	1.854839	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
176	99	0	0	0.000000	2.666667	2.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
177	125	0	0	0.000000	2.752000	2.752000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
178	80	0	0	0.000000	1.725000	1.725000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
179	207	0	0	0.000000	1.840580	1.840580	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
180	45	0	0	0.000000	1.222222	1.222222	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
181	101	0	0	0.000000	2.643564	2.643564	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
182	311	0	0	0.000000	3.372990	3.372990	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
183	80	0	0	0.000000	3.112500	3.112500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
184	315	0	0	0.000000	2.939683	2.939683	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
185	120	0	0	0.000000	2.225000	2.225000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
186	83	0	0	0.000000	2.674699	2.674699	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
187	109	0	0	0.000000	2.045872	2.045872	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
188	82	0	0	0.000000	1.134146	1.134146	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
189	295	0	0	0.000000	2.505085	2.505085	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
190	238	0	0	0.000000	1.945378	1.945378	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
191	312	0	0	0.000000	2.759615	2.759615	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
192	331	0	0	0.000000	1.691843	1.691843	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
193	116	0	0	0.000000	2.017241	2.017241	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
194	77	0	0	0.000000	1.402597	1.402597	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
195	104	2	0	0.000000	2.990385	2.990385	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
196	80	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
197	285	0	0	0.000000	2.242105	2.242105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
198	143	0	0	0.000000	2.090909	2.090909	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
199	130	0	0	0.000000	3.161538	3.161538	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
200	100	0	0	0.000000	2.470000	2.470000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
201	80	0	0	0.000000	2.837500	2.837500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
202	142	0	0	0.000000	2.436620	2.436620	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
203	300	0	0	0.000000	1.816667	1.816667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
204	269	0	0	0.000000	1.494424	1.494424	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
205	106	0	0	0.000000	1.830189	1.830189	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
206	100	0	0	0.000000	1.510000	1.510000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
207	242	0	0	0.000000	2.561983	2.561983	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
208	80	0	0	0.000000	1.562500	1.562500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
209	67	0	0	0.000000	1.910448	1.910448	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
210	80	0	0	0.000000	1.937500	1.937500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
211	80	0	0	0.000000	2.075000	2.075000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
212	80	0	0	0.000000	1.575000	1.575000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
213	239	0	0	0.000000	2.213389	2.213389	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
214	278	0	0	0.000000	1.812950	1.812950	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
215	80	0	0	0.000000	1.900000	1.900000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
216	98	0	0	0.000000	2.448980	2.448980	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
217	299	0	0	0.000000	2.341137	2.341137	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
218	74	0	0	0.000000	1.675676	1.675676	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
219	62	0	0	0.000000	1.129032	1.129032	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
220	73	0	0	0.000000	1.958904	1.958904	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
221	99	0	0	0.000000	2.373737	2.373737	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
222	75	0	0	0.000000	1.680000	1.680000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
223	66	0	0	0.000000	1.939394	1.939394	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
224	252	0	0	0.000000	1.575397	1.575397	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
225	73	0	0	0.000000	1.958904	1.958904	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
226	243	0	0	0.000000	1.493827	1.493827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
227	80	0	0	0.000000	1.575000	1.575000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
228	59	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
229	246	0	0	0.000000	2.272358	2.272358	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
230	80	0	0	0.000000	1.362500	1.362500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
231	63	0	0	0.000000	1.777778	1.777778	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
232	83	0	0	0.000000	2.698795	2.698795	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
233	82	0	0	0.000000	1.926829	1.926829	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
234	112	0	0	0.000000	2.133929	2.133929	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
235	21	1	1	0.000000	1.857143	1.857143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
236	145	0	0	0.000000	2.006897	2.006897	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
237	84	0	0	0.000000	1.904762	1.904762	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
238	288	0	0	0.000000	1.885417	1.885417	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
239	228	0	0	0.000000	1.434211	1.434211	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
240	60	0	0	0.000000	1.716667	1.716667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
241	62	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
242	48	0	0	0.000000	1.687500	1.687500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
243	66	0	0	0.000000	2.924242	2.924242	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
244	75	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
245	55	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
246	254	0	0	0.000000	1.515748	1.515748	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
247	251	0	0	0.000000	1.274900	1.274900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
248	74	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
249	48	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
250	244	0	0	0.000000	1.348361	1.348361	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
251	102	0	0	0.000000	1.431373	1.431373	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
252	145	0	0	0.000000	2.241379	2.241379	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
253	270	0	0	0.000000	2.274074	2.274074	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
254	15	2	1	0.000000	2.133333	2.133333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
255	80	0	0	0.000000	2.200000	2.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
256	78	0	0	0.000000	1.769231	1.769231	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
257	47	0	0	0.000000	2.340426	2.340426	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
258	309	0	0	0.000000	2.029126	2.029126	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
259	100	0	0	0.000000	1.860000	1.860000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
260	199	0	0	0.000000	1.206030	1.206030	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
